Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_gRatio,Myelinated_gRatioCount,Myelinated_axonDiam,Myelinated_axonCount,Unmyelinated_axonDiam,Unmyelinated_axonCount
1,0.026574433,0.1,0.001573637,1,0.227127618,0.28,0.024641921
2,0.484643775,0.2,0.003184544,2,0.601599153,0.41,0.078887009
3,0.321381753,0.3,0.011562088,3,0.097014398,0.55,0.200949058
4,0.074851362,0.4,0.024450725,4,0.036910103,0.69,0.25038909
5,0.022654633,0.5,0.102348323,5,0.019299478,0.83,0.170324385
6,0.021736132,0.6,0.198673387,6,0.003479158,0.97,0.128303422
7,0.024349332,0.7,0.291104837,7,0.003046501,1.1,0.075541279
8,0.019322156,0.8,0.300076346,8,0.003482142,1.24,0.070963835
9,0.003223809,0.9,0.056751923,9,0.002085704,,
10,0.001262615,1,0.010274191,10,0.002783923,,
11,0,,,11,0.003171822,,
